Rank,Movie,Release Date,Distributor,Genre,2022 Gross,Tickets Sold
299,"Riotsville, U.S.A.","Sep 16, 2022",Magnolia Pictures,Documentary,"$40,960","4,466"
300,Remembering Heaven,"May 6, 2022",Purdie Distribution,Documentary,"$40,907","4,460"
301,Utama,"Nov 4, 2022",Kino Lorber,Drama,"$38,863","4,238"
302,All The Beauty And The Bloo…,"Nov 23, 2022",Neon,Documentary,"$38,182","4,163"
303,Salvatore: Shoemaker of Dreams,"Nov 4, 2022",Sony Pictures Cla…,Documentary,"$36,449","3,974"
304,Anonymous Club,"Jul 15, 2022",Oscilloscope Pict…,Documentary,"$35,481","3,869"
305,Ted K,"Feb 18, 2022",Super LTD,Drama,"$35,464","3,867"
306,Catch the Fair One,"Feb 11, 2022",IFC Films,Thriller/Suspense,"$34,541","3,766"
307,Private Desert,"Aug 26, 2022",Kino Lorber,Drama,"$32,681","3,563"
308,Casablanca Beats,"Sep 16, 2022",Kino Lorber,Drama,"$32,577","3,552"
309,The Sound of Violet,"Apr 29, 2022",Atlas Distribution,Drama,"$32,294","3,521"
310,Sparks: The Ken Sparks Story,"Jan 7, 2022",Double J Productions,Documentary,"$30,801","3,358"
311,Buried: The 1982 Alpine Mea…,"Sep 23, 2022",Greenwich,Documentary,"$30,310","3,305"
312,Nikamma,"Jun 17, 2022",Sony Pictures,Action,"$30,190","3,292"
313,Fortune Favors Lady Nikuko,"Jun 3, 2022",GKIDS,Adventure,"$29,823","3,252"
314,The African Desperate,"Sep 16, 2022",MUBI,Comedy,"$29,763","3,245"
315,Bitterbrush,"Jun 17, 2022",Magnolia Pictures,Documentary,"$28,099","3,064"
316,"Lingui, The Sacred Bonds","Feb 4, 2022",MUBI,Drama,"$27,553","3,004"
317,The Innocents,"May 13, 2022",IFC Films,Horror,"$25,705","2,803"
318,Fabian: Going to the Dogs,"Feb 11, 2022",Kino Lorber,Drama,"$24,971","2,723"
319,Young Plato,"Sep 23, 2022",Soilsiu Films,Documentary,"$24,376","2,658"
320,Wolf Pack,"Sep 30, 2022",Well Go USA,Action,"$23,617","2,575"
321,Brainwashed: Sex-Camera-Power,"Oct 21, 2022",Kino Lorber,Documentary,"$22,978","2,505"
322,Dreaming Walls: Inside the …,"Jul 8, 2022",Magnolia Pictures,Documentary,"$22,534","2,457"
323,Cow,"Apr 8, 2022",IFC Films,Documentary,"$22,504","2,454"
324,The Divine Protector - Mast…,"Oct 21, 2022",Freestyle Releasing,Adventure,"$22,321","2,434"
325,Brighton 4th,"Jan 28, 2022",Kino Lorber,Comedy,"$22,313","2,433"
326,Please Baby Please,"Oct 28, 2022",Music Box Films,Musical,"$22,280","2,429"
